Product code,Product name,Category,Sub category,Season,Cost price (EUR),RRP (EUR),WKs active (to date),Launch date,Product count,Sales U BR,Sales € BR (EUR),Sales U AR,Sales € AR (EUR),ST % (to date),Avg weekly ST % (all time),TROS BR Avg,First 3 WK ROS,GP %,RR %,"RR % (units, all time)",Returns U,ATS U,Stock U
24-2-SU24-6-100,Liquid Jersey Scarf | Black,Scarves,Liquid,Carry over,3.63,25,59,22/1/2025,1,"1,607","34,311","1,594","34,046",67%,1%,125.7,54,83.80%,1%,2%,13,"6,605","5,011"
24-2-SU24-6-461,Liquid Jersey Scarf | Vintage Purple,Scarves,Liquid,Fall25.2,5.62,25,7,21/1/2026,1,"1,248","26,405","1,169","24,773",100%,12%,92.6,285.7,75.70%,6%,4%,79,"1,179",10
24-2-FA24-25-162,Bamboo Jersey Scarf | Dark Brown,Scarves,Bamboo,Fall25.1,7,29,7,21/1/2026,1,"1,190","29,350","1,153","28,437",53%,7%,93.3,200.7,74.10%,3%,3%,37,"4,130","2,977"
23-2-FA23-8-439,Premium Jersey Scarf | Dark Cherry,Scarves,Premium,Fall25.2,5.76,25,7,21/1/2026,1,"1,030","22,029",971,"20,833",100%,13%,92.2,363,78.00%,6%,4%,59,973,2
24-2-SU24-6-451,Liquid Jersey Scarf | Burnt Red,Scarves,Liquid,Fall25.2,5.62,25,7,21/1/2026,1,915,"19,452",886,"18,833",73%,10%,71.9,126.3,76.50%,3%,4%,29,"2,026","1,140"
23-2-FA23-8-131,Premium Jersey Scarf | Chocolate,Scarves,Premium,Fall25.1,5.76,25,7,21/1/2026,1,866,"18,295",831,"17,574",61%,8%,65.3,125.7,75.20%,4%,4%,35,"4,123","3,292"
23-2-FA23-8-469,Premium Jersey Scarf | Ash Brown,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,860,"18,003",826,"17,323",85%,4%,72.1,940,72.60%,4%,4%,34,"1,803",977
23-2-FA23-8-100,Premium Jersey Scarf | Black,Scarves,Premium,Carry over,6.49,25,59,22/1/2025,1,813,"17,431",783,"16,792",65%,1%,75.9,139.3,73.40%,4%,3%,30,"14,455","13,672"
24-2-FA24-25-100,Bamboo Jersey Scarf | Black,Scarves,Bamboo,Fall25.1,7.27,29,52,10/3/2025,1,770,"19,017",753,"18,609",46%,1%,60.7,181.7,72.80%,2%,3%,17,"5,319","4,566"
24-2-SU24-6-162,Liquid Jersey Scarf | Dark Brown,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,778,"16,495",735,"15,579",100%,5%,92.2,612.3,74.10%,6%,5%,43,734,-1
24-2-FA24-18-162,The Unique Flock Premium | Dark Brown,Scarves,Decorative,Fall25.1,5.85,45,20,21/10/2025,1,736,"27,282",715,"26,492",99%,5%,51.3,1,84.20%,3%,3%,21,741,26
24-2-SU24-6-366,Liquid Jersey Scarf | Dark Pearl,Scarves,Liquid,Spring25.2,5.76,25,7,21/1/2026,1,559,"11,817",535,"11,317",58%,8%,44.2,84.7,74.60%,4%,5%,24,"1,778","1,243"
23-2-FA23-8-452,Premium Jersey Scarf | Marron,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,546,"11,423",522,"10,967",94%,5%,44.7,712.7,72.60%,4%,5%,24,814,292
24-2-SU24-6-131,Liquid Jersey Scarf | Chocolate,Scarves,Liquid,Fall25.1,5.62,25,20,21/10/2025,1,483,"10,180",467,"9,919",59%,3%,39.3,431.3,73.80%,3%,4%,16,"2,326","1,859"
23-2-FA23-8-450,Premium Jersey Scarf | Mushroom,Scarves,Premium,Fall25.2,5.76,25,16,17/11/2025,1,460,"9,727",430,"9,118",96%,6%,37.6,50.7,74.40%,7%,5%,30,539,109
24-L-41-102,Magnetic Gift Box | Off White,Operational supplies,(none),(none),1.51,5,51,22/3/2025,1,416,790,415,790,70%,1%,94.7,234,21.80%,0%,3%,1,"1,352",937
23-2-FA23-7-439,Breathable Jersey Scarf | Dark Cherry,Scarves,Breathable,Fall25.1,7.17,39,20,21/10/2025,1,401,"12,983",385,"12,466",61%,3%,48.6,245,77.90%,4%,5%,16,"1,733","1,348"
23-2-FA23-8-324,Premium Jersey Scarf | Mink,Scarves,Premium,Carry over,5.98,25,7,21/1/2026,1,401,"8,536",370,"7,897",71%,9%,33.4,101.7,74.70%,8%,7%,31,"2,784","2,414"
23-2-FA23-8-111,Premium Jersey Scarf | Latte,Scarves,Premium,Carry over,5.91,25,7,21/1/2026,1,379,"7,992",364,"7,681",46%,6%,30.3,31.7,73.80%,4%,25%,15,"2,472","2,108"
23-2-FA23-8-446,Premium Jersey Scarf | Smoked Green,Scarves,Premium,Fall25.1,5.76,25,20,21/10/2025,1,352,"7,305",343,"7,111",79%,4%,44,269.7,72.20%,3%,4%,9,859,516
23-2-FA23-13-100,The Unique - Premium Jersey | Black,Scarves,Decorative scarves,Carry over,10.53,55,20,21/10/2025,1,323,"14,896",311,"14,311",75%,4%,34,201,78.50%,4%,4%,12,"2,230","1,919"
